Player,Nation,Pos,Squad,Comp,Age,Min,90s,Gls,Ast,G+A,G-PK,xG,npxG,xAG,PrgC,PrgP,Gls_per90,xG_per90,Finishing_Diff
Amari'i Bell,JAM,DF,Luton Town,eng Premier League,29.0,1720,19.1,0,0,0,0,0.3,0.3,0.5,32.0,76.0,0.0,0.015697674418604653,-0.3
Stefan Bell,GER,DF,Mainz 05,de Bundesliga,31.0,666,7.4,0,0,0,0,0.2,0.2,0.1,0.0,23.0,0.0,0.027027027027027032,-0.2
Alaa Bellaarouch,MAR,GK,Strasbourg,fr Ligue 1,21.0,1350,15.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raoul Bellanova,ITA,DF,Torino,it Serie A,23.0,3046,33.8,1,7,8,1,2.0,2.0,5.0,141.0,98.0,0.02954694681549573,0.05909389363099146,-1.0
Jean-Ricner Bellegarde,FRA,"MF,FW",Wolves,eng Premier League,25.0,958,10.6,2,1,3,2,1.6,1.6,1.0,30.0,39.0,0.1878914405010438,0.1503131524008351,0.3999999999999999
Héctor Bellerín,ESP,DF,Betis,es La Liga,28.0,1711,19.0,0,1,1,0,0.2,0.2,1.6,32.0,81.0,0.0,0.010520163646990065,-0.2
Jude Bellingham,ENG,MF,Real Madrid,es La Liga,20.0,2315,25.7,19,6,25,18,11.1,10.3,5.3,85.0,196.0,0.7386609071274298,0.43153347732181424,7.9
Jeanuël Belocian,FRA,DF,Rennes,fr Ligue 1,18.0,1448,16.1,0,1,1,0,0.5,0.5,0.4,16.0,60.0,0.0,0.03107734806629834,-0.5
Andrea Belotti,ITA,FW,Fiorentina,it Serie A,29.0,949,10.5,3,0,3,3,3.7,3.7,0.7,10.0,15.0,0.2845100105374078,0.350895679662803,-0.7000000000000002
Andrea Belotti,ITA,FW,Roma,it Serie A,29.0,679,7.5,3,2,5,3,2.4,2.4,1.2,15.0,8.0,0.39764359351988215,0.3181148748159057,0.6000000000000001
Fran Beltrán,ESP,MF,Celta Vigo,es La Liga,24.0,2428,27.0,0,0,0,0,0.7,0.7,1.1,28.0,134.0,0.0,0.025947281713344313,-0.7
Lucas Beltrán,ARG,"FW,MF",Fiorentina,it Serie A,22.0,1692,18.8,6,2,8,5,3.8,3.0,1.5,12.0,49.0,0.3191489361702128,0.20212765957446807,2.2
Wissam Ben Yedder,FRA,FW,Monaco,fr Ligue 1,32.0,2316,25.7,16,2,18,15,12.4,11.6,4.3,52.0,96.0,0.6217616580310881,0.4818652849740933,3.5999999999999996
Carlos Benavídez,URU,MF,Alavés,es La Liga,25.0,1136,12.6,3,1,4,3,1.0,1.0,0.5,9.0,60.0,0.23767605633802816,0.07922535211267606,2.0
Ismaël Bennacer,ALG,MF,Milan,it Serie A,25.0,1151,12.8,2,2,4,1,1.7,0.9,2.5,24.0,68.0,0.15638575152041703,0.13292788879235448,0.30000000000000004
Saïd Benrahma,ALG,"FW,MF",West Ham,eng Premier League,27.0,620,6.9,0,1,1,0,1.8,1.0,1.4,28.0,28.0,0.0,0.26129032258064516,-1.8
Saïd Benrahma,ALG,"FW,MF",Lyon,fr Ligue 1,27.0,770,8.6,3,3,6,3,1.6,1.6,3.6,46.0,34.0,0.35064935064935066,0.18701298701298702,1.4
Ramy Bensebaini,ALG,DF,Dortmund,de Bundesliga,28.0,1033,11.5,0,0,0,0,1.7,1.7,0.4,17.0,75.0,0.0,0.14811229428848016,-1.7
Nabil Bentaleb,ALG,MF,Lille,fr Ligue 1,28.0,1967,21.9,0,3,3,0,0.4,0.4,0.9,11.0,136.0,0.0,0.018301982714794104,-0.4
Rodrigo Bentancur,URU,MF,Tottenham,eng Premier League,26.0,1005,11.2,1,1,2,1,1.9,1.9,0.5,16.0,72.0,0.08955223880597014,0.1701492537313433,-0.8999999999999999
Lucas Beraldo,BRA,DF,Paris S-G,fr Ligue 1,19.0,1008,11.2,1,0,1,1,1.0,1.0,0.2,7.0,44.0,0.08928571428571427,0.08928571428571427,0.0
Domenico Berardi,ITA,FW,Sassuolo,it Serie A,28.0,1431,15.9,9,3,12,4,6.5,2.6,3.0,38.0,83.0,0.5660377358490566,0.40880503144654085,2.5
Yuri Berchiche,ESP,DF,Athletic Club,es La Liga,33.0,1930,21.4,3,1,4,3,0.9,0.7,1.6,36.0,132.0,0.13989637305699482,0.04196891191709844,2.1
Álex Berenguer,ESP,FW,Athletic Club,es La Liga,28.0,1592,17.7,7,3,10,6,5.2,4.4,3.7,61.0,30.0,0.3957286432160804,0.29396984924623115,1.7999999999999998
Bartosz Bereszyński,POL,DF,Empoli,it Serie A,31.0,1762,19.6,0,1,1,0,0.1,0.1,0.3,15.0,69.0,0.0,0.00510783200908059,-0.1
Jóhann Berg Guðmundsson,ISL,"MF,FW",Burnley,eng Premier League,32.0,1192,13.2,1,3,4,1,1.9,1.9,2.7,13.0,59.0,0.07550335570469799,0.14345637583892618,-0.8999999999999999
Sander Berge,NOR,MF,Burnley,eng Premier League,25.0,3005,33.4,1,2,3,1,1.9,1.9,2.4,64.0,164.0,0.029950083194675542,0.05690515806988353,-0.8999999999999999
Etrit Berisha,ALB,GK,Empoli,it Serie A,34.0,1260,14.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bernardo,BRA,DF,Bochum,de Bundesliga,28.0,2924,32.5,1,0,1,1,1.9,1.9,0.5,26.0,127.0,0.030779753761969904,0.05848153214774282,-0.8999999999999999
