Player,Nation,Pos,Squad,Comp,Age,Min,90s,Gls,Ast,G+A,G-PK,xG,npxG,xAG,PrgC,PrgP,Gls_per90,xG_per90,Finishing_Diff
Fermin López,ESP,"MF,FW",Barcelona,es La Liga,20.0,1446,16.1,8,0,8,8,7.5,7.5,1.1,42.0,76.0,0.4979253112033195,0.46680497925311204,0.5
Javi López,ESP,DF,Alavés,es La Liga,21.0,2386,26.5,1,3,4,1,0.9,0.9,3.0,53.0,92.0,0.037720033528918694,0.03394803017602682,0.09999999999999998
Maxime Lopez,FRA,MF,Fiorentina,it Serie A,25.0,800,8.9,0,0,0,0,0.2,0.2,0.6,14.0,48.0,0.0,0.0225,-0.2
Pau López,ESP,GK,Marseille,fr Ligue 1,28.0,2939,32.7,0,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Unai López,ESP,MF,Rayo Vallecano,es La Liga,27.0,2108,23.4,1,2,3,1,1.1,1.1,2.5,32.0,116.0,0.04269449715370019,0.04696394686907022,-0.10000000000000009
Dion Lopy,SEN,MF,Almería,es La Liga,21.0,1916,21.3,0,0,0,0,1.3,1.3,1.2,23.0,90.0,0.0,0.061064718162839246,-1.3
Anthony Losilla,FRA,MF,Bochum,de Bundesliga,37.0,2576,28.6,1,2,3,1,2.3,2.3,1.5,11.0,100.0,0.03493788819875776,0.08035714285714285,-1.2999999999999998
Jordan Lotomba,SUI,DF,Nice,fr Ligue 1,24.0,1804,20.0,1,0,1,1,0.9,0.9,1.1,36.0,52.0,0.04988913525498891,0.04490022172949002,0.09999999999999998
Imran Louza,MAR,MF,Lorient,fr Ligue 1,24.0,863,9.6,1,3,4,1,1.1,1.1,2.5,19.0,83.0,0.10428736964078794,0.11471610660486675,-0.10000000000000009
Matteo Lovato,ITA,DF,Torino,it Serie A,23.0,544,6.0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Matteo Lovato,ITA,DF,Salernitana,it Serie A,23.0,947,10.5,0,0,0,0,0.0,0.0,0.2,1.0,29.0,0.0,0.0,0.0
Dejan Lovren,CRO,DF,Lyon,fr Ligue 1,34.0,718,8.0,0,0,0,0,0.4,0.4,0.0,5.0,20.0,0.0,0.05013927576601671,-0.4
Sandi Lovrić,SVN,MF,Udinese,it Serie A,25.0,1987,22.1,1,3,4,1,3.5,3.5,3.3,52.0,80.0,0.04529441368897836,0.15853044791142426,-2.5
Max Lowe,ENG,"DF,MF",Sheffield Utd,eng Premier League,26.0,503,5.6,0,0,0,0,0.6,0.6,0.7,5.0,12.0,0.0,0.10735586481113318,-0.6
Anthony Lozano,HON,FW,Almería,es La Liga,30.0,772,8.6,3,0,3,3,3.3,3.3,0.7,12.0,16.0,0.34974093264248707,0.38471502590673573,-0.2999999999999998
Lucas,BRA,DF,Cádiz,es La Liga,22.0,1539,17.1,1,0,1,1,0.8,0.8,1.9,30.0,47.0,0.05847953216374269,0.046783625730994156,0.19999999999999996
Lorenzo Lucca,ITA,FW,Udinese,it Serie A,22.0,2592,28.8,8,4,12,8,7.8,7.8,1.6,10.0,18.0,0.2777777777777778,0.2708333333333333,0.20000000000000018
Jhon Lucumí,COL,DF,Bologna,it Serie A,25.0,2217,24.6,0,0,0,0,0.8,0.8,0.3,28.0,93.0,0.0,0.03247631935047361,-0.8
José Luis Gayà,ESP,DF,Valencia,es La Liga,28.0,1791,19.9,1,2,3,1,0.5,0.5,2.6,41.0,72.0,0.05025125628140704,0.02512562814070352,0.5
José Luis Morales,ESP,"FW,MF",Villarreal,es La Liga,36.0,1048,11.6,7,0,7,7,5.6,5.6,0.6,29.0,17.0,0.601145038167939,0.48091603053435117,1.4000000000000004
Douglas Luiz,BRA,MF,Aston Villa,eng Premier League,25.0,2993,33.3,9,5,14,5,6.9,3.8,5.4,60.0,168.0,0.270631473438022,0.20748412963581694,2.0999999999999996
Romelu Lukaku,BEL,FW,Roma,it Serie A,30.0,2641,29.3,13,3,16,13,9.8,9.0,2.4,37.0,37.0,0.44301400984475575,0.3339644074214313,3.1999999999999993
Castello Lukeba,FRA,DF,RB Leipzig,de Bundesliga,20.0,2191,24.3,1,0,1,1,0.8,0.8,0.1,23.0,107.0,0.041077133728890915,0.032861706983112735,0.19999999999999996
Dodi Lukebakio,BEL,"FW,MF",Sevilla,es La Liga,25.0,1125,12.5,5,1,6,5,5.6,5.6,0.7,48.0,26.0,0.4,0.44799999999999995,-0.5999999999999996
Saša Lukić,SRB,MF,Fulham,eng Premier League,26.0,1122,12.5,1,0,1,1,1.6,1.6,0.8,12.0,43.0,0.08021390374331551,0.12834224598930483,-0.6000000000000001
Andriy Lunin,UKR,GK,Real Madrid,es La Liga,24.0,1890,21.0,0,0,0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
Sebastiano Luperto,ITA,DF,Empoli,it Serie A,26.0,3406,37.8,1,1,2,1,1.7,1.7,1.0,13.0,100.0,0.026423957721667644,0.044920728126834994,-0.7
Zito Luvumbo,ANG,"FW,MF",Cagliari,it Serie A,21.0,1946,21.6,4,5,9,4,4.0,4.0,3.1,85.0,21.0,0.18499486125385406,0.18499486125385406,0.0
Charalambos Lykogiannis,GRE,DF,Bologna,it Serie A,29.0,904,10.0,2,1,3,2,1.3,1.3,1.6,36.0,35.0,0.19911504424778761,0.12942477876106195,0.7
Senne Lynen,BEL,MF,Werder Bremen,de Bundesliga,24.0,1797,20.0,0,3,3,0,0.4,0.4,1.8,10.0,66.0,0.0,0.020033388981636063,-0.4
Ian Maatsen,NED,DF,Dortmund,de Bundesliga,21.0,1264,14.0,2,2,4,2,0.9,0.9,1.4,41.0,80.0,0.14240506329113925,0.06408227848101265,1.1
Alexis Mac Allister,ARG,MF,Liverpool,eng Premier League,24.0,2599,28.9,5,5,10,4,3.7,2.9,3.6,44.0,209.0,0.17314351673720663,0.1281262023855329,1.2999999999999998
Deiver Machado,COL,DF,Lens,fr Ligue 1,29.0,1124,12.5,4,0,4,4,1.7,1.7,1.3,22.0,26.0,0.32028469750889677,0.13612099644128114,2.3
Darwin Machís,VEN,MF,Cádiz,es La Liga,30.0,785,8.7,4,0,4,3,1.4,0.6,0.7,20.0,15.0,0.45859872611464964,0.16050955414012738,2.6
James Maddison,ENG,MF,Tottenham,eng Premier League,26.0,2135,23.7,4,9,13,4,6.4,6.4,5.9,58.0,224.0,0.1686182669789227,0.26978922716627635,-2.4000000000000004
Noni Madueke,ENG,FW,Chelsea,eng Premier League,21.0,1053,11.7,5,2,7,4,2.5,1.7,2.6,76.0,52.0,0.42735042735042733,0.21367521367521367,2.5
Pablo Maffeo,ESP,DF,Mallorca,es La Liga,26.0,1454,16.2,1,2,3,1,0.8,0.8,0.9,38.0,41.0,0.06189821182943604,0.04951856946354883,0.19999999999999996
Gabriel Magalhães,BRA,DF,Arsenal,eng Premier League,25.0,3044,33.8,4,0,4,4,4.3,4.3,0.7,13.0,117.0,0.11826544021024968,0.12713534822601838,-0.2999999999999998
Soungoutou Magassa,FRA,"DF,MF",Monaco,fr Ligue 1,19.0,1346,15.0,0,0,0,0,0.6,0.6,0.1,7.0,92.0,0.0,0.040118870728083206,-0.6
Giulio Maggiore,ITA,MF,Salernitana,it Serie A,25.0,1800,20.0,4,2,6,4,2.3,2.3,1.1,8.0,64.0,0.2,0.11499999999999999,1.7000000000000002
Matej Maglica,CRO,DF,Darmstadt 98,de Bundesliga,24.0,1698,18.9,1,0,1,1,0.6,0.6,0.7,11.0,62.0,0.05300353356890459,0.03180212014134275,0.4
Giangiacomo Magnani,ITA,DF,Hellas Verona,it Serie A,27.0,2444,27.2,0,0,0,0,0.5,0.5,0.2,15.0,79.0,0.0,0.018412438625204582,-0.5
Hugo Magnetti,FRA,MF,Brest,fr Ligue 1,25.0,2340,26.0,2,0,2,2,2.4,2.4,1.8,36.0,101.0,0.07692307692307693,0.09230769230769231,-0.3999999999999999
Yohann Magnin,FRA,MF,Clermont Foot,fr Ligue 1,26.0,1687,18.7,1,0,1,1,1.6,1.6,0.7,14.0,71.0,0.053349140486069944,0.08535862477771192,-0.6000000000000001
Frank Magri,CMR,"FW,MF",Toulouse,fr Ligue 1,23.0,1438,16.0,5,2,7,5,3.1,3.1,1.6,31.0,34.0,0.31293463143254524,0.19401947148817802,1.9
Harry Maguire,ENG,DF,Manchester Utd,eng Premier League,30.0,1653,18.4,2,2,4,2,2.0,2.0,1.2,20.0,73.0,0.10889292196007261,0.10889292196007261,0.0
Arne Maier,GER,MF,Augsburg,de Bundesliga,24.0,1003,11.1,2,4,6,2,1.5,1.5,2.3,17.0,64.0,0.17946161515453637,0.1345962113659023,0.5
Mike Maignan,FRA,GK,Milan,it Serie A,28.0,2609,29.0,0,1,1,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
Linton Maina,GER,"FW,MF",Köln,de Bundesliga,24.0,1901,21.1,1,3,4,1,1.9,1.9,3.1,109.0,61.0,0.04734350341925302,0.08995265649658074,-0.8999999999999999
Patrick Mainka,GER,DF,Heidenheim,de Bundesliga,28.0,3060,34.0,2,0,2,2,3.2,3.2,0.1,33.0,122.0,0.058823529411764705,0.09411764705882354,-1.2000000000000002
Kobbie Mainoo,ENG,MF,Manchester Utd,eng Premier League,18.0,1924,21.4,3,1,4,3,0.9,0.9,0.7,25.0,64.0,0.14033264033264034,0.0420997920997921,2.1
Ainsley Maitland-Niles,ENG,"DF,MF",Lyon,fr Ligue 1,25.0,1432,15.9,1,4,5,0,3.0,2.2,2.1,26.0,76.0,0.06284916201117319,0.18854748603351956,-2.0
Radosław Majecki,POL,GK,Monaco,fr Ligue 1,23.0,1080,12.0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Lovro Majer,CRO,"MF,FW",Wolfsburg,de Bundesliga,25.0,2106,23.4,5,5,10,3,5.4,3.8,3.2,61.0,124.0,0.21367521367521367,0.23076923076923078,-0.40000000000000036
Jean-Victor Makengo,FRA,"MF,FW",Lorient,fr Ligue 1,25.0,479,5.3,0,0,0,0,0.3,0.3,0.0,11.0,28.0,0.0,0.05636743215031315,-0.3
Jordy Makengo,FRA,DF,Freiburg,de Bundesliga,21.0,1026,11.4,0,0,0,0,0.2,0.2,0.2,27.0,52.0,0.0,0.01754385964912281,-0.2
Antoine Makoumbou,CGO,MF,Cagliari,it Serie A,25.0,2702,30.0,1,0,1,1,0.7,0.7,0.9,37.0,137.0,0.03330866025166543,0.023316062176165803,0.30000000000000004
Nemanja Maksimović,SRB,MF,Getafe,es La Liga,28.0,3265,36.3,4,0,4,4,5.5,5.5,1.1,22.0,73.0,0.11026033690658499,0.15160796324655437,-1.5
Julián Malatini,ARG,DF,Werder Bremen,de Bundesliga,22.0,602,6.7,1,0,1,1,1.0,1.0,0.2,9.0,27.0,0.14950166112956811,0.14950166112956811,0.0
Youssef Maleh,MAR,MF,Empoli,it Serie A,24.0,2602,28.9,0,1,1,0,1.6,1.6,2.4,17.0,117.0,0.0,0.055342044581091474,-1.6
Donyell Malen,NED,"FW,MF",Dortmund,de Bundesliga,24.0,1781,19.8,13,1,14,13,9.5,9.5,3.0,73.0,57.0,0.656934306569343,0.48006737787759685,3.5
Ruslan Malinovskyi,UKR,MF,Genoa,it Serie A,30.0,1544,17.2,4,1,5,4,1.1,1.1,0.6,24.0,83.0,0.23316062176165803,0.06411917098445596,2.9
Lennard Maloney,USA,MF,Heidenheim,de Bundesliga,23.0,2284,25.4,1,1,2,1,0.8,0.8,1.1,3.0,62.0,0.0394045534150613,0.03152364273204904,0.19999999999999996
Giorgi Mamardashvili,GEO,GK,Valencia,es La Liga,22.0,3284,36.5,0,0,0,0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
Gianluca Mancini,ITA,DF,Roma,it Serie A,27.0,2869,31.9,4,1,5,4,1.9,1.9,1.1,38.0,139.0,0.12547926106657373,0.059602649006622516,2.1
Steve Mandanda,FRA,GK,Rennes,fr Ligue 1,38.0,3060,34.0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Christos Mandas,GRE,GK,Lazio,it Serie A,21.0,721,8.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reinildo Mandava,MOZ,DF,Atlético Madrid,es La Liga,29.0,731,8.1,2,1,3,2,0.9,0.9,0.6,10.0,36.0,0.24623803009575923,0.11080711354309165,1.1
Aïssa Mandi,ALG,DF,Villarreal,es La Liga,31.0,1113,12.4,1,0,1,1,0.6,0.6,0.7,6.0,55.0,0.08086253369272238,0.048517520215633415,0.4
Rolando Mandragora,ITA,MF,Fiorentina,it Serie A,26.0,1588,17.6,3,3,6,3,3.5,3.5,1.6,7.0,93.0,0.17002518891687657,0.19836272040302266,-0.5
Orel Mangala,BEL,MF,Nott'ham Forest,eng Premier League,25.0,1563,17.4,1,0,1,1,0.8,0.8,0.2,13.0,45.0,0.05758157389635316,0.046065259117082535,0.19999999999999996
Kostas Manolas,GRE,DF,Salernitana,it Serie A,32.0,488,5.4,0,0,0,0,0.1,0.1,0.1,0.0,10.0,0.0,0.018442622950819672,-0.1
Javier Manquillo,ESP,"DF,MF",Celta Vigo,es La Liga,29.0,744,8.3,0,1,1,0,0.1,0.1,0.2,5.0,25.0,0.0,0.012096774193548387,-0.1
Solly March,ENG,"FW,DF",Brighton,eng Premier League,29.0,554,6.2,3,1,4,3,2.0,2.0,1.0,14.0,24.0,0.48736462093862815,0.3249097472924188,1.0
Riccardo Marchizza,ITA,DF,Frosinone,it Serie A,25.0,1148,12.8,0,4,4,0,0.4,0.4,0.8,6.0,36.0,0.0,0.0313588850174216,-0.4
Gian Marco Ferrari,ITA,DF,Sassuolo,it Serie A,31.0,2272,25.2,1,0,1,1,1.6,1.6,0.3,32.0,148.0,0.03961267605633803,0.06338028169014084,-0.6000000000000001
Óscar de Marcos,ESP,DF,Athletic Club,es La Liga,34.0,2258,25.1,1,5,6,1,0.6,0.6,3.1,51.0,143.0,0.03985828166519043,0.02391496899911426,0.4
Pablo Marí,ESP,DF,Monza,it Serie A,29.0,2615,29.1,0,0,0,0,0.4,0.4,0.3,2.0,62.0,0.0,0.013766730401529637,-0.4
José María Giménez,URU,DF,Atlético Madrid,es La Liga,28.0,1326,14.7,0,0,0,0,0.4,0.4,0.1,2.0,26.0,0.0,0.027149321266968326,-0.4
Rafa Marín,ESP,DF,Alavés,es La Liga,21.0,2443,27.1,0,0,0,0,0.7,0.7,0.3,13.0,77.0,0.0,0.025787965616045842,-0.7
Răzvan Marin,ROU,MF,Empoli,it Serie A,27.0,1818,20.2,0,3,3,0,1.1,1.1,3.0,21.0,72.0,0.0,0.05445544554455446,-1.1
Guillermo Maripán,CHI,DF,Monaco,fr Ligue 1,29.0,1767,19.6,1,0,1,1,0.4,0.4,0.5,4.0,59.0,0.050933786078098474,0.02037351443123939,0.6
Mika Màrmol,ESP,DF,Las Palmas,es La Liga,21.0,3178,35.3,0,1,1,0,0.2,0.2,1.0,36.0,142.0,0.0,0.005663939584644431,-0.2
Omar Marmoush,EGY,"FW,MF",Eint Frankfurt,de Bundesliga,24.0,2301,25.6,12,6,18,10,11.6,10.1,4.4,88.0,60.0,0.469361147327249,0.4537157757496741,0.40000000000000036
Marquinhos,BRA,DF,Paris S-G,fr Ligue 1,29.0,1537,17.1,0,1,1,0,0.4,0.4,0.5,18.0,114.0,0.0,0.023422251138581655,-0.4
Agustín Martegani,ARG,MF,Salernitana,it Serie A,23.0,731,8.1,1,0,1,1,0.6,0.6,0.5,14.0,28.0,0.12311901504787962,0.07387140902872777,0.4
Eric Martel,GER,MF,Köln,de Bundesliga,21.0,2457,27.3,1,1,2,1,2.2,2.2,1.1,21.0,75.0,0.03663003663003663,0.08058608058608059,-1.2000000000000002
Roger Martí,ESP,FW,Cádiz,es La Liga,32.0,1359,15.1,2,3,5,2,2.8,2.8,2.9,7.0,19.0,0.13245033112582782,0.18543046357615894,-0.7999999999999998
Aarón Martín,ESP,DF,Genoa,it Serie A,26.0,1376,15.3,0,1,1,0,0.2,0.2,1.7,28.0,35.0,0.0,0.013081395348837208,-0.2
Iván Martín,ESP,MF,Girona,es La Liga,24.0,2729,30.3,5,4,9,5,2.9,2.9,3.4,84.0,143.0,0.16489556614144377,0.09563942836203737,2.1
Jonas Martin,FRA,MF,Brest,fr Ligue 1,33.0,1208,13.4,0,1,1,0,1.2,1.2,0.9,28.0,105.0,0.0,0.08940397350993377,-1.2
Gabriel Martinelli,BRA,FW,Arsenal,eng Premier League,22.0,2019,22.4,6,4,10,6,6.8,6.8,6.1,127.0,65.0,0.2674591381872214,0.3031203566121842,-0.7999999999999998
Arnau Martinez,ESP,DF,Girona,es La Liga,20.0,1241,13.8,0,2,2,0,0.2,0.2,1.4,29.0,68.0,0.0,0.014504431909750202,-0.2
Emiliano Martínez,ARG,GK,Aston Villa,eng Premier League,30.0,3015,33.5,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Iñigo Martínez,ESP,DF,Barcelona,es La Liga,32.0,1296,14.4,0,0,0,0,0.4,0.4,0.0,33.0,97.0,0.0,0.027777777777777776,-0.4
Josep Martinez,ESP,GK,Genoa,it Serie A,25.0,3239,36.0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Lautaro Martínez,ARG,FW,Inter,it Serie A,25.0,2656,29.5,24,3,27,22,17.6,15.3,3.6,54.0,80.0,0.8132530120481928,0.5963855421686748,6.399999999999999
Lisandro Martínez,ARG,DF,Manchester Utd,eng Premier League,25.0,646,7.2,0,1,1,0,0.0,0.0,0.1,8.0,28.0,0.0,0.0,0.0
Lucas Martínez Quarta,ARG,DF,Fiorentina,it Serie A,27.0,2291,25.5,5,1,6,5,2.7,2.7,1.8,23.0,177.0,0.19642077695329552,0.10606721955477959,2.3
Adam Marušić,MNE,DF,Lazio,it Serie A,30.0,3100,34.4,1,0,1,1,0.4,0.4,0.8,35.0,118.0,0.02903225806451613,0.011612903225806452,0.6
Marvin,ESP,"FW,DF",Las Palmas,es La Liga,23.0,1855,20.6,0,2,2,0,0.9,0.9,2.5,60.0,36.0,0.0,0.04366576819407008,-0.9
Omar Mascarell,EQG,MF,Mallorca,es La Liga,30.0,1571,17.5,0,0,0,0,0.4,0.4,0.0,12.0,67.0,0.0,0.022915340547422024,-0.4
Adam Masina,MAR,DF,Torino,it Serie A,29.0,1024,11.4,0,0,0,0,0.2,0.2,0.2,3.0,42.0,0.0,0.017578125,-0.2
Erhan Mašović,SRB,"DF,MF",Bochum,de Bundesliga,24.0,2219,24.7,0,0,0,0,1.1,1.1,0.3,15.0,47.0,0.0,0.044614691302388466,-1.1
Clinton Mata,ANG,DF,Lyon,fr Ligue 1,30.0,2220,24.7,0,3,3,0,0.6,0.6,2.2,32.0,97.0,0.0,0.024324324324324326,-0.6
Jaime Mata,ESP,"FW,MF",Getafe,es La Liga,34.0,1787,19.9,5,1,6,5,5.6,5.6,1.5,16.0,19.0,0.25181869054280914,0.2820369334079463,-0.5999999999999996
Pape Matar Sarr,SEN,MF,Tottenham,eng Premier League,20.0,2069,23.0,3,3,6,3,3.4,3.4,2.2,43.0,150.0,0.13049782503624938,0.14789753504108263,-0.3999999999999999
Jean-Philippe Mateta,FRA,FW,Crystal Palace,eng Premier League,26.0,2282,25.4,16,5,21,14,10.9,9.4,3.1,29.0,25.0,0.6310254163014899,0.42988606485539,5.1
Nemanja Matić,SRB,MF,Rennes,fr Ligue 1,34.0,1027,11.4,0,0,0,0,0.3,0.3,0.8,14.0,83.0,0.0,0.026290165530671858,-0.3
Nemanja Matić,SRB,MF,Lyon,fr Ligue 1,34.0,1254,13.9,0,0,0,0,0.3,0.3,0.6,26.0,118.0,0.0,0.021531100478468897,-0.3
Joël Matip,CMR,DF,Liverpool,eng Premier League,31.0,781,8.7,0,0,0,0,0.5,0.5,0.1,8.0,34.0,0.0,0.057618437900128036,-0.5
Chrislain Matsima,FRA,DF,Clermont Foot,fr Ligue 1,21.0,1180,13.1,1,0,1,1,0.2,0.2,0.0,13.0,45.0,0.07627118644067796,0.015254237288135594,0.8
Azor Matusiwa,NED,MF,Reims,fr Ligue 1,25.0,1385,15.4,1,0,1,1,0.7,0.7,0.7,12.0,78.0,0.06498194945848375,0.04548736462093862,0.30000000000000004
Azor Matusiwa,NED,MF,Rennes,fr Ligue 1,25.0,794,8.8,0,1,1,0,0.3,0.3,0.4,3.0,64.0,0.0,0.03400503778337531,-0.3
Neal Maupay,FRA,FW,Brentford,eng Premier League,26.0,1321,14.7,6,3,9,6,5.7,5.7,2.3,21.0,37.0,0.408781226343679,0.3883421650264951,0.2999999999999998
Konstantinos Mavropanos,GRE,DF,West Ham,eng Premier League,25.0,1500,16.7,1,0,1,1,1.2,1.2,0.2,10.0,38.0,0.06,0.072,-0.19999999999999996
Christian Mawissa,FRA,DF,Toulouse,fr Ligue 1,18.0,1118,12.4,2,0,2,2,1.0,1.0,0.3,26.0,39.0,0.16100178890876565,0.08050089445438283,1.0
Philipp Max,GER,DF,Eint Frankfurt,de Bundesliga,29.0,1350,15.0,1,2,3,1,0.2,0.2,2.8,25.0,63.0,0.06666666666666667,0.013333333333333332,0.8
Eric Maxim Choupo-Moting,CMR,"MF,FW",Bayern Munich,de Bundesliga,34.0,717,8.0,2,2,4,2,4.5,4.5,1.8,23.0,21.0,0.2510460251046025,0.5648535564853556,-2.5
Luís Maximiano,POR,GK,Almería,es La Liga,24.0,2970,33.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Borja Mayoral,ESP,FW,Getafe,es La Liga,26.0,2153,23.9,15,1,16,11,11.9,8.7,1.4,27.0,67.0,0.6270320483046911,0.4974454249883883,3.0999999999999996
Noussair Mazraoui,MAR,DF,Bayern Munich,de Bundesliga,25.0,1197,13.3,0,3,3,0,0.9,0.9,1.8,34.0,103.0,0.0,0.06766917293233084,-0.9
Luca Mazzitelli,ITA,MF,Frosinone,it Serie A,27.0,2210,24.6,5,0,5,5,2.3,2.3,1.1,18.0,167.0,0.20361990950226247,0.09366515837104071,2.7
Pasquale Mazzocchi,ITA,DF,Salernitana,it Serie A,28.0,1272,14.1,0,1,1,0,0.3,0.3,1.3,36.0,36.0,0.0,0.02122641509433962,-0.3
Kevin Mbabu,SUI,DF,Augsburg,de Bundesliga,28.0,2047,22.7,0,2,2,0,0.1,0.1,1.9,70.0,84.0,0.0,0.004396678065461651,-0.1
Kylian Mbappé,FRA,FW,Paris S-G,fr Ligue 1,24.0,2158,24.0,27,7,34,21,21.0,14.5,5.7,114.0,122.0,1.1260426320667285,0.8758109360519,6.0
Chancel Mbemba,COD,DF,Marseille,fr Ligue 1,28.0,2207,24.5,2,2,4,2,1.8,1.8,1.0,16.0,131.0,0.08155867693701858,0.07340280924331673,0.19999999999999996
Bryan Mbeumo,CMR,FW,Brentford,eng Premier League,23.0,1960,21.8,9,6,15,6,9.8,7.4,4.6,74.0,88.0,0.413265306122449,0.45,-0.8000000000000007
James Mcatee,ENG,"MF,FW",Sheffield Utd,eng Premier League,20.0,1822,20.2,3,3,6,2,3.1,2.3,2.9,55.0,51.0,0.14818880351262348,0.1531284302963776,-0.10000000000000009
Oliver McBurnie,SCO,FW,Sheffield Utd,eng Premier League,27.0,1280,14.2,6,3,9,4,6.9,5.3,2.0,6.0,30.0,0.421875,0.48515625000000007,-0.9000000000000004
John McGinn,SCO,"MF,FW",Aston Villa,eng Premier League,28.0,2999,33.3,6,4,10,6,5.0,5.0,4.6,59.0,189.0,0.1800600200066689,0.15005001667222406,1.0
Weston McKennie,USA,"MF,DF",Juventus,it Serie A,24.0,2594,28.8,0,7,7,0,3.0,3.0,3.9,64.0,92.0,0.0,0.1040863531225906,-3.0
Dwight McNeil,ENG,"MF,FW",Everton,eng Premier League,23.0,2892,32.1,3,6,9,3,3.4,3.4,8.8,80.0,114.0,0.09336099585062241,0.10580912863070539,-0.3999999999999999
Scott McTominay,SCO,"MF,FW",Manchester Utd,eng Premier League,26.0,1901,21.1,7,1,8,7,5.7,5.7,0.8,29.0,64.0,0.33140452393477116,0.2698579694897422,1.2999999999999998
Facundo Medina,ARG,DF,Lens,fr Ligue 1,24.0,2714,30.2,1,3,4,1,1.1,1.1,1.8,51.0,219.0,0.03316138540899042,0.036477523949889464,-0.10000000000000009
Ben Mee,ENG,DF,Brentford,eng Premier League,33.0,1272,14.1,2,0,2,2,1.5,1.5,0.3,11.0,49.0,0.14150943396226415,0.1061320754716981,0.5
Marvin Mehlem,GER,MF,Darmstadt 98,de Bundesliga,25.0,1482,16.5,3,2,5,3,3.8,3.8,1.1,27.0,46.0,0.18218623481781376,0.23076923076923078,-0.7999999999999998
Bamo Meïté,CIV,DF,Marseille,fr Ligue 1,21.0,638,7.1,0,0,0,0,0.1,0.1,0.0,11.0,29.0,0.0,0.014106583072100314,-0.1
Óscar Melendo,ESP,"MF,FW",Granada,es La Liga,25.0,1122,12.5,0,0,0,0,0.4,0.4,0.5,21.0,38.0,0.0,0.03208556149732621,-0.4
Gonzalo Melero,ESP,"MF,FW",Almería,es La Liga,29.0,1103,12.3,1,1,2,1,2.0,2.0,1.2,23.0,49.0,0.08159564823209428,0.16319129646418856,-1.0
Arthur Melo,BRA,MF,Fiorentina,it Serie A,26.0,1986,22.1,2,3,5,1,1.0,0.3,1.7,21.0,133.0,0.09063444108761329,0.045317220543806644,1.0
Memphis,NED,FW,Atlético Madrid,es La Liga,29.0,893,9.9,5,1,6,5,5.8,5.8,1.8,16.0,27.0,0.503919372900336,0.5845464725643896,-0.7999999999999998
Brais Méndez,ESP,"MF,FW",Real Sociedad,es La Liga,26.0,2413,26.8,5,6,11,5,4.2,4.2,4.2,45.0,128.0,0.18648984666390386,0.15665147119767925,0.7999999999999998
Bruno Méndez,URU,DF,Granada,es La Liga,23.0,1333,14.8,2,0,2,2,0.6,0.6,0.1,8.0,47.0,0.1350337584396099,0.04051012753188297,1.4
Benjamin Mendy,FRA,DF,Lorient,fr Ligue 1,29.0,711,7.9,2,1,3,2,1.1,1.1,1.9,26.0,34.0,0.25316455696202533,0.13924050632911392,0.8999999999999999
Ferland Mendy,FRA,DF,Real Madrid,es La Liga,28.0,1720,19.1,0,0,0,0,0.2,0.2,0.9,19.0,84.0,0.0,0.010465116279069767,-0.2
Formose Mendy,SEN,DF,Lorient,fr Ligue 1,22.0,1256,14.0,0,0,0,0,0.3,0.3,0.1,14.0,61.0,0.0,0.021496815286624203,-0.3
Nampalys Mendy,SEN,MF,Lens,fr Ligue 1,31.0,1052,11.7,0,1,1,0,0.2,0.2,1.1,21.0,84.0,0.0,0.017110266159695818,-0.2
Teden Mengi,ENG,DF,Luton Town,eng Premier League,21.0,2469,27.4,1,0,1,1,0.6,0.6,0.3,15.0,54.0,0.03645200486026732,0.021871202916160386,0.4
Chris Mepham,WAL,DF,Bournemouth,eng Premier League,25.0,617,6.9,0,1,1,0,0.1,0.1,0.4,4.0,25.0,0.0,0.014586709886547814,-0.1
Jorge Meré,ESP,DF,Cádiz,es La Liga,26.0,673,7.5,0,0,0,0,0.2,0.2,0.0,2.0,15.0,0.0,0.026745913818722142,-0.2
Alex Meret,ITA,GK,Napoli,it Serie A,26.0,2773,30.8,0,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Mikel Merino,ESP,MF,Real Sociedad,es La Liga,27.0,2482,27.6,5,3,8,5,3.3,3.3,1.9,26.0,163.0,0.1813053988718775,0.11966156325543917,1.7000000000000002
Quentin Merlin,FRA,DF,Marseille,fr Ligue 1,21.0,703,7.8,0,1,1,0,0.1,0.1,1.1,15.0,46.0,0.0,0.012802275960170698,-0.1
